wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
gam,gmo,gamo1244,Gamo,6.666666667,37.25,North Omotic,Afro-Asiatic,Africa,ET,,,,,,2 Plural suffix,,,1 Case suffixes,,,,,1 SOV,
gan,apq,apuc1241,Great Andamanese,12,92.66666667,Great Andamanese,Great Andamanese,Eurasia,IN,3 Average,1 No tones,,,,,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,
gap,pwg,gapa1238,Gapapaiwa,-9.75,149.8333333,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,2 Case prefixes,,,,,1 SOV,2 Final
gar,grt,garo1247,Garo,25.66666667,90.5,Bodo-Garo,Sino-Tibetan,Eurasia,IN,3 Average,1 No tones,2 Strongly suffixing,,,8 Plural clitic,1 No politeness distinction,7 8-9 cases,6 Postpositional clitics,"5 First/one-th, two-th, three-th",4 No possessive affixes,,,1 SOV,6 No question particle
gau,bar,bava1246,German (Upper Austrian),47,14,Germanic,Indo-European,Eurasia,AT,,,,,,,,,,,,,,,
gav,gvo,gavi1246,Gavião,-10.66666667,-62,Monde,Tupian,South America,BR,,,,,,,,,,,1 Possessive prefixes,,,,1 Initial
gay,gay,gayo1244,Gayo,4.5,97.5,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID,,,,,,,,,,,,,,,
gba,bar,bava1246,German (Bavarian),49,11.5,Germanic,Indo-European,Eurasia,DE AT,,,,,,,,,,,,,,,
gbb,gbp,gbay1287,Gbeya Bossangoa,6.666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,CF,3 Average,2 Simple tone system,2 Strongly suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,2 Final
gbc,pov,uppe1455,Guinea Bissau Crioulo,12,-15,Creoles and Pidgins,other,Africa,GW,,,,,,,,,,"7 First, second, three-th",,,,,
gbe,gsw,swis1247,German (Bern),47,7.416666667,Germanic,Indo-European,Eurasia,CH,,,,,,,,,,,,,,,
gbk,gya,nort2775,Gbaya Kara,6,15,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,CM CF,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,
gbl,deu,stan1295,German (Berlin),52.5,13.33333333,Germanic,Indo-European,Eurasia,DE,,,,,,,,,,,,,,,
gcy,ell,mode1248,Greek (Cypriot),34.75,33,Greek,Indo-European,Eurasia,CY,,,,,,,,,,,,,,,
gdb,gbj,bodo1267,Gutob,19,83.66666667,Munda,Austro-Asiatic,Eurasia,IN,,,,,,,,,,,,,,,6 No question particle
gdf,gdf,gudu1252,Guduf,11.23333333,13.8,Biu-Mandara,Afro-Asiatic,Africa,CM NG,,,,,,,,,,,,,,,
gdi,god,godi1239,Godié,5.416666667,-5.833333333,Kru,Niger-Congo,Africa,CI,,,,4 Four,3 Non-sex-based,,,,,,,,,,
gdk,gdb,pott1240,Gadaba (Kondekor),18.75,83.5,Central Dravidian,Dravidian,Eurasia,IN,,,,,,,,,,,,,,,
gdl,gcf,guad1242,Guadeloupe Creole,16.25,-61.5,Creoles and Pidgins,other,North America,GP,,,,,,,,,,,,,,,
gdr,gid,gida1247,Gidar,10,14,Biu-Mandara,Afro-Asiatic,Africa,CM,,,,,,,,,,,,,,,
gds,gaj,gads1258,Gadsup,-6.25,146,Eastern Highlands,Trans-New Guinea,Papunesia,PG,3 Average,3 Complex tone system,3 Weakly suffixing,,,2 Plural suffix,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,6 No question particle
gel,nlg,gela1263,Gela,-9.083333333,160.25,Oceanic,Austronesian,Papunesia,SB,,,,,,7 Plural word,,,,,2 Possessive suffixes,,,4 VOS,2 Final
geo,kat,nucl1302,Georgian,42,44,Kartvelian,Kartvelian,Eurasia,GE,4 Moderately high,1 No tones,3 Weakly suffixing,1 None,1 No gender,2 Plural suffix,2 Binary politeness distinction,6 6-7 cases,1 Case suffixes,"6 First, two-th, three-th",4 No possessive affixes,1 Inflectional future exists,4 No perfect,1 SOV,6 No question particle
ger,deu,stan1295,German,52,10,Germanic,Indo-European,Eurasia,AT DE CH,1 Low,1 No tones,2 Strongly suffixing,3 Three,2 Sex-based,2 Plural suffix,2 Binary politeness distinction,4 4 cases,1 Case suffixes,"6 First, two-th, three-th",4 No possessive affixes,2 No inflectional future,1 From possessive,7 No dominant order,6 No question particle
gfr,gcr,guia1246,Guianese French Creole,5,-53,Creoles and Pidgins,other,South America,GF,,,,,,,,,,,,,,,
ggd,ggd,guga1239,Gugadj,-18.5,140.5,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
ggu,gnr,gure1255,Gureng Gureng,-25.25,151,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,,,,7 No dominant order,
gha,deu,stan1295,German (Hannover),52.41666667,9.666666667,Germanic,Indo-European,Eurasia,DE,,,,,,,,,,,,,,,
ghb,guh,guah1255,Guahibo,5,-69,Guahiban,Guahiban,South America,CO,3 Average,,,,,,,,,,,,,,
gho,aaa,ghot1243,Ghotuo,7.083333333,5.75,Edoid,Niger-Congo,Africa,NG,,,,,,,,,,,,,,,
ghr,bfu,gahr1239,Bunan,32.5,77,Bodic,Sino-Tibetan,Eurasia,IN,,,,,,,,,,,,,,1 SOV,2 Final
gid,bdy,band1339,Gidabal,-28.41666667,152.4166667,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,1 Case suffixes,,,,,7 No dominant order,
gil,glk,gila1241,Gilaki,37.33333333,50,Iranian,Indo-European,Eurasia,IR,,,,,,2 Plural suffix,,,1 Case suffixes,,,,,,
gim,bcq,benc1235,Gimira,7,35.75,North Omotic,Afro-Asiatic,Africa,ET,,,2 Strongly suffixing,,,2 Plural suffix,,6 6-7 cases,6 Postpositional clitics,,,,,1 SOV,6 No question particle
gir,glj,gula1265,Gula Iro,10.25,19.41666667,Adamawa,Niger-Congo,Africa,TD,,,,,,,,,,,,,,,
