wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
mrc,rnp,rong1264,Marchha,30.25,79.58333333,Bodic,Sino-Tibetan,Eurasia,IN,,,,,,,,,,,,,,1 SOV,
mrd,mrz,nucl1622,Marind,-7.833333333,140.1666667,Marind Proper,Marind,Papunesia,ID,3 Average,1 No tones,,4 Four,2 Sex-based,,,1 No morphological case-marking,,1 None,1 Possessive prefixes,,,1 SOV,2 Final
mrg,mrt,marg1265,Margi,11,13,Biu-Mandara,Afro-Asiatic,Africa,NG,5 High,2 Simple tone system,3 Weakly suffixing,,,8 Plural clitic,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,1 Inflectional future exists,3 Other perfect,2 SVO,2 Final
mrh,mfr,mari1424,Marrithiyel,-13.83333333,130,Bringen,Western Daly,Australia,AU,,,,,,,,,,,,,,1 SOV,
mri,mok,moro1289,Moraori,-8.583333333,140.6666667,Moraori,Moraori,Papunesia,ID,,,,,,,,,,,,,,1 SOV,2 Final
mrj,nju,ngad1258,Mirniny,-31,129,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
mrk,mtf,muri1260,Murik,-3.833333333,144.25,Lower Sepik,Lower Sepik-Ramu,Papunesia,PG,,,,,,,,,,,,,,,
mrl,mur,murl1244,Murle,6.5,33.5,Surmic,Eastern Sudanic,Africa,SD,2 Moderately low,2 Simple tone system,3 Weakly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,4 4 cases,1 Case suffixes,,2 Possessive suffixes,,,3 VSO,6 No question particle
mrn,mrw,mara1404,Maranao,7.833333333,124.25,Greater Central Philippine,Austronesian,Papunesia,PH,3 Average,1 No tones,,,,,,,,,,,,,
mro,mor,moro1285,Moro,11,30.16666667,Heiban,Kordofanian,Africa,SD,3 Average,2 Simple tone system,5 Weakly prefixing,,,1 Plural prefix,,,5 Mixed morphological case,,2 Possessive suffixes,,,2 SVO,1 Initial
mrq,mrq,sout2866,Marquesan,-8.916666667,-140.0833333,Oceanic,Austronesian,Papunesia,PF,,,,,,,,,,,,,,3 VSO,1 Initial
mrr,zmt,mari1419,Maringarr,-14.25,130,Bringen,Western Daly,Australia,AU,,,,,,,,,,,,,,1 SOV,
mrs,zrs,nucl1594,Mairasi,-3.5,134,Mairasi-Tanahmerah,Trans-New Guinea,Papunesia,ID,,,,,,,,,,,1 Possessive prefixes,,,1 SOV,
mrt,vma,mart1255,Martuthunira,-20.83333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,5 High,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,8 10 or more cases,1 Case suffixes,1 None,2 Possessive suffixes,1 Inflectional future exists,4 No perfect,2 SVO,6 No question particle
mru,mhx,maru1249,Maru,23.5,98.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,1 SOV,2 Final
mrw,zmu,muru1266,Muruwari,-28.75,147,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,6 Mixed morphological plural,,,1 Case suffixes,,,,,7 No dominant order,1 Initial
msc,chb,chib1270,Muisca,5,-74,Chibcha-Duit,Chibchan,South America,CO,,,3 Weakly suffixing,,,,,,1 Case suffixes,,,,,1 SOV,6 No question particle
mse,umu,muns1251,Munsee,41.5,-74.66666667,Algonquian,Algic,North America,US,,,,,,,,,,,,,,,
msg,mrg,misi1242,Mising,28.5,94.83333333,Tani,Sino-Tibetan,Eurasia,IN,,,2 Strongly suffixing,,,6 Mixed morphological plural,,,6 Postpositional clitics,,,,,1 SOV,6 No question particle
msh,mah,mars1254,Marshallese,7.116666667,171.05,Oceanic,Austronesian,Papunesia,MH,,,,,,,,,,"4 One-th, two-th, three-th",,,,,
msk,jle,ngil1242,Masakin,10.66666667,30,Talodi,Kordofanian,Africa,SD,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,,,,7 No dominant order,
msl,mls,nucl1440,Masalit,13.33333333,22,Maban,Maban,Africa,SD TD,,,2 Strongly suffixing,,,2 Plural suffix,1 No politeness distinction,,1 Case suffixes,"6 First, two-th, three-th",2 Possessive suffixes,,,1 SOV,6 No question particle
msm,msu,muso1238,Musom,-6.583333333,147,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,2 SVO,
msn,mbq,mais1250,Maisin,-9.5,149.1666667,Oceanic,Austronesian,Papunesia,PG,,,5 Weakly prefixing,,,8 Plural clitic,,,6 Postpositional clitics,,2 Possessive suffixes,,,1 SOV,2 Final
msq,hur,halk1245,Musqueam,49.16666667,-123,Central Salish,Salishan,North America,CA,,,,,,,,,,,,,,3 VSO,
mss,skd,sout2985,Miwok (Southern Sierra),37.5,-120,Miwok,Penutian,North America,US,2 Moderately low,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,6 6-7 cases,,"7 First, second, three-th",2 Possessive suffixes,,,7 No dominant order,
msy,mrd,west2418,Magar (Syangja),28.08333333,83.83333333,Mahakiranti,Sino-Tibetan,Eurasia,NP,,,,,,,,,,,,,,,
mta,sdo,buka1257,Mentuh Tapuh,1.25,111,Land Dayak,Austronesian,Papunesia,MY,,,,,,,,,,,,,,,
mtb,mgw,matu1259,Matuumbi,-8.5,39,Bantoid,Niger-Congo,Africa,TZ,,,6 Strong prefixing,,,1 Plural prefix,,,,,,,,2 SVO,
mtg,moe,mont1268,Montagnais,52,-65,Algonquian,Algic,North America,CA,,,,,,,,,,,,1 Inflectional future exists,3 Other perfect,,
mth,mxp,tlah1239,Mixe (Tlahuitoltepec),17.08333333,-96.16666667,Mixe-Zoque,Mixe-Zoque,North America,MX,,,,,,,,,,,,,,,
mti,mot,bari1297,Barí,9,-73,Motilon,Chibchan,South America,VR CO,,,,,,,,,,,,,,,
mtk,mjk,matu1261,Matukar,-4.916666667,145.75,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,,,,,
mtl,mvb,matt1238,Mattole,40.16666667,-124.1666667,Athapaskan,Na-Dene,North America,US,,,,,,,,,,,,,,,
mto,kmj,kuma1274,Malto,25,87.33333333,Northern Dravidian,Dravidian,Eurasia,IN,,,,,,,,,,,,,,1 SOV,
mtp,mto,toto1305,Mixe (Totontepec),17.25,-96,Mixe-Zoque,Mixe-Zoque,North America,MX,1 Low,1 No tones,,,,,,,,,,,,,
mts,mpq,mati1255,Matis,-4.416666667,-70.25,Panoan,Panoan,South America,BR,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,6 No question particle
mtt,wam,wamp1249,Massachusett,42.5,-71,Algonquian,Algic,North America,US,,,,,,2 Plural suffix,,,,,1 Possessive prefixes,,,7 No dominant order,6 No question particle
mtu,meu,motu1246,Motu,-9.333333333,147,Oceanic,Austronesian,Papunesia,PG,,,2 Strongly suffixing,,,6 Mixed morphological plural,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,2 No inflectional future,3 Other perfect,1 SOV,2 Final
mua,xsq,makh1264,Makua,-15,38.66666667,Bantoid,Niger-Congo,Africa,MZ,,,,,,1 Plural prefix,,,,,,,,2 SVO,
mud,mnf,mund1327,Mundani,5.666666667,9.916666667,Bantoid,Niger-Congo,Africa,CM,,,,,,,,,,,2 Possessive suffixes,,,,
mug,mlp,barg1252,Mugil,-4.883333333,145.75,Madang,Trans-New Guinea,Papunesia,PG,,,,,,,,,,,1 Possessive prefixes,,,,
muh,sgw,seba1251,Muher,8.166666667,38.16666667,Semitic,Afro-Asiatic,Africa,ET,,,,,,,,,,,,,,,
mui,bmr,muin1242,Muinane,-1,-72.5,Boran,Huitotoan,South America,CO,3 Average,2 Simple tone system,3 Weakly suffixing,,,2 Plural suffix,,,1 Case suffixes,,1 Possessive prefixes,,,,
mul,mlm,mula1253,Mulao,25,108,Kam-Tai,Tai-Kadai,Eurasia,CN,,,,,,,,,,,,,,,
mum,mzm,nucl1240,Mumuye,9,11.66666667,Adamawa,Niger-Congo,Africa,NG,3 Average,3 Complex tone system,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,,,2 SVO,2 Final
mun,unr,mund1320,Mundari,23,84.66666667,Munda,Austro-Asiatic,Eurasia,IN,4 Moderately high,1 No tones,2 Strongly suffixing,2 Two,3 Non-sex-based,2 Plural suffix,,7 8-9 cases,9 No case affixes or adpositional clitics,"3 First, two, three",2 Possessive suffixes,,,1 SOV,2 Final
muo,mtq,muon1246,Muong,20.5,105.0833333,Viet-Muong,Austro-Asiatic,Eurasia,VN,,,,,,,,,,,,,,,
mup,sur,mwag1236,Mupun,9.5,8.833333333,West Chadic,Afro-Asiatic,Africa,NG,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,"4 One-th, two-th, three-th",4 No possessive affixes,,,2 SVO,2 Final
mur,muz,murs1242,Mursi,5.583333333,36.08333333,Surmic,Eastern Sudanic,Africa,ET,,,3 Weakly suffixing,,,2 Plural suffix,,,1 Case suffixes,,2 Possessive suffixes,,,2 SVO,
mus,emi,muss1246,Mussau,-1.45,149.6166667,Oceanic,Austronesian,Papunesia,PG,,,1 Little affixation,,,7 Plural word,,,,,2 Possessive suffixes,,,2 SVO,2 Final
mut,css,sout2986,Mutsun,36.83333333,-121.5,Costanoan,Penutian,North America,US,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,1 Possessive prefixes,,,2 SVO,1 Initial
muu,myu,mund1330,Mundurukú,-7,-58,Munduruku,Tupian,South America,BR,,,,,,2 Plural suffix,,,,,1 Possessive prefixes,,,1 SOV,
muy,myw,muyu1244,Muyuw,-9.083333333,152.75,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,,,,,
mwa,mpj,mart1256,Martu Wangka,-21.5,126,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
mwb,mbb,west2555,Manobo (Western Bukidnon),7.666666667,124.75,Greater Central Philippine,Austronesian,Papunesia,PH,,,6 Strong prefixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,3 VSO,
mwc,mke,mawc1242,Mawchi,21.33333333,73.66666667,Indic,Indo-European,Eurasia,IN,,,,,,,,,,,,,,,
mwe,mwe,mwer1248,Mwera,-9,39,Bantoid,Niger-Congo,Africa,TZ,,,,,,1 Plural prefix,,,,,,1 Inflectional future exists,3 Other perfect,2 SVO,
mwl,lmw,lake1258,Miwok (Lake),38.91666667,-122.6666667,Miwok,Penutian,North America,US,,,,,,,,,,,,,,,
mwn,nsq,nort2968,Miwok (Northern Sierra),38.33333333,-120.6666667,Miwok,Penutian,North America,US,,,,,,,,,,,,,,,
mwo,mlv,motl1237,Mwotlap,-13.58333333,167.5833333,Oceanic,Austronesian,Papunesia,VU,,,,,,7 Plural word,,,2 Case prefixes,,2 Possessive suffixes,,,2 SVO,6 No question particle
mwp,pmw,plai1259,Miwok (Plains),38,-121,Miwok,Penutian,North America,US,,,,,,,,,,,,,,,
mxa,mib,atat1238,Mixtec (Atatlahuca),17,-97.75,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,"5 First/one-th, two-th, three-th",,,,,
mxc,mig,sanm1295,Mixtec (Chalcatongo),17.05,-97.58333333,Mixtecan,Oto-Manguean,North America,MX,3 Average,3 Complex tone system,6 Strong prefixing,5 Five or more,2 Sex-based,7 Plural word,2 Binary politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,1 None,4 No possessive affixes,1 Inflectional future exists,4 No perfect,3 VSO,6 No question particle
mxe,mxe,mele1250,Ifira-Mele,-17.75,168.25,Oceanic,Austronesian,Papunesia,VU,,,,,,,,,,,,,,2 SVO,
mxg,mig,sanm1295,Mixtec (San Miguel el Grande),17.05,-97.56666667,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mxj,mio,pino1237,Mixtec (Jicaltepec),16.33333333,-98,Mixtecan,Oto-Manguean,North America,MX,,,4 Equal prefixing and suffixing,,,9 No plural,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,3 VSO,2 Final
mxl,mim,alac1244,Mixtec (Alacatlatzala),17.25,-98.58333333,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mxm,mig,sanm1295,Mixtec (Molinos),17,-97.58333333,Mixtecan,Oto-Manguean,North America,MX,3 Average,3 Complex tone system,,,,,,,,,,,,,
mxo,mie,ocot1243,Mixtec (Ocotepec),17.16666667,-97.75,Mixtecan,Oto-Manguean,North America,MX,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,3 VSO,1 Initial
mxp,mil,peno1244,Mixtec (Peñoles),17.08333333,-96.91666667,Mixtecan,Oto-Manguean,North America,MX,,,5 Weakly prefixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,3 VSO,2 Final
mxs,mks,sila1250,Mixtec (Silacayoapan),17.5,-98.16666667,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mxt,miy,ayut1236,Mixtec (Ayutla),16.91666667,-99.16666667,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mxu,mih,chay1249,Mixtec (Chayuco),16.41666667,-97.83333333,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mxx,,,Mixe (Ayutla),17.08333333,-96.08333333,Mixe-Zoque,Mixe-Zoque,,MX,,,,,,,,,,,,,,7 No dominant order,2 Final
mxy,mpm,yoso1239,Mixtec (Yosondúa),16.91666667,-97.58333333,Mixtecan,Oto-Manguean,North America,MX,,,,,,7 Plural word,,,,,,,,3 VSO,2 Final
mxz,miz,coat1241,Mixtec (Coatzospan),18.08333333,-96.58333333,Mixtecan,Oto-Manguean,North America,MX,,,,,,,,,,,,,,,
mya,slz,maya1282,Ma'ya,-1.25,130.9166667,South Halmahera - West New Guinea,Austronesian,Papunesia,ID,3 Average,3 Complex tone system,,,,,,,,,,,,,
myg,mdm,mayo1261,Mayogo,3,29,Ubangi,Niger-Congo,Africa,CD,,,,,,1 Plural prefix,,,,,4 No possessive affixes,,,2 SVO,
myi,mpc,mang1381,Mangarrayi,-14.66666667,133.5,Mangarrayi,Mangarrayi-Maran,Australia,AU,3 Average,1 No tones,4 Equal prefixing and suffixing,3 Three,2 Sex-based,2 Plural suffix,1 No politeness distinction,7 8-9 cases,5 Mixed morphological case,1 None,2 Possessive suffixes,2 No inflectional future,4 No perfect,5 OVS,2 Final
myk,zlm,mala1479,Malay (Kuala Lumpur),3.166666667,101.7,Malayo-Sumbawan,Austronesian,Eurasia,MY,,,,,,,,,,,,,,,
mym,mal,mala1464,Malayalam,10,76.5,Southern Dravidian,Dravidian,Eurasia,IN,,,,,,,3 Multiple politeness distinctions,6 6-7 cases,,"5 First/one-th, two-th, three-th",,,,1 SOV,2 Final
myn,mhy,maan1238,Ma'anyan,-2,115,Barito,Austronesian,Papunesia,ID,,,,,,,,,,,,,,2 SVO,
myo,mfy,mayo1264,Mayo,26,-108,Cahita,Uto-Aztecan,North America,MX,,,,,,,,,,,,,,,
myr,mcf,mats1244,Matsés,-5.416666667,-73.25,Panoan,Panoan,South America,PE BR,,,,,,,,,,,,,,1 SOV,
myy,,mayk1239,Mayi-Yapi,-20,141,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
mzc,maq,chiq1250,Mazatec (Chiquihuitlán),17.75,-96.91666667,Popolocan,Oto-Manguean,North America,MX,3 Average,3 Complex tone system,,,,,,,,"6 First, two-th, three-th",2 Possessive suffixes,,,,
mzh,mau,huau1238,Mazatec (Huautla),18.25,-96.83333333,Popolocan,Oto-Manguean,North America,MX,,,3 Weakly suffixing,,,,,,,,2 Possessive suffixes,,,7 No dominant order,1 Initial
mzn,mzn,maza1291,Mazanderani,36.5,52,Iranian,Indo-European,Eurasia,IR,,,,,,2 Plural suffix,,,,,,,,,
naa,cld,chal1275,Neo-Aramaic (Amadiya),37,43,Semitic,Afro-Asiatic,Eurasia,IQ,,,,,,,,,,,,,,,
nab,naf,naba1256,Nabak,-6.416666667,147,Finisterre-Huon,Trans-New Guinea,Papunesia,PG,,,2 Strongly suffixing,,,2 Plural suffix,,,6 Postpositional clitics,,2 Possessive suffixes,,,1 SOV,6 No question particle
nad,mbj,nade1244,Nadëb,-1,-66.5,Nadahup,Nadahup,South America,BR,,,,,,,,,,,,,,6 OSV,6 No question particle
naf,nfr,nafa1258,Nafaanra,8,-2.583333333,Gur,Niger-Congo,Africa,GH CI,,,,,,,,,,,,,,,
nag,nce,yale1246,Nagatman,-3.75,141.5,Yale,Yale,Papunesia,PG,,,2 Strongly suffixing,,,2 Plural suffix,,,,,1 Possessive prefixes,,,1 SOV,2 Final
nah,nll,niha1238,Nahali,19.75,77.83333333,Nahali,Nahali,Eurasia,IN,,,,,,,,,1 Case suffixes,,,,,,
nai,gld,nana1257,Nanai,49.5,137,Tungusic,Altaic,Eurasia,RU,3 Average,1 No tones,,,,,,,,,,,,,
naj,aij,lish1245,Neo-Aramaic (Arbel Jewish),31.75,35,Semitic,Afro-Asiatic,Eurasia,IL,,,2 Strongly suffixing,,,2 Plural suffix,,,7 Prepositional clitics,,2 Possessive suffixes,,,1 SOV,6 No question particle
nak,nak,naka1262,Nakanai,-5.583333333,150.5833333,Oceanic,Austronesian,Papunesia,PG,,,3 Weakly suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,2 No inflectional future,3 Other perfect,2 SVO,
nal,nal,nali1244,Nalik,-2.95,151.3333333,Oceanic,Austronesian,Papunesia,PG,,,,,,7 Plural word,,,,,,,,2 SVO,
nam,nnm,nami1256,Namia,-3.833333333,141.75,Yellow River,Sepik,Papunesia,PG,,,4 Equal prefixing and suffixing,,,9 No plural,,,,,4 No possessive affixes,,,1 SOV,2 Final
nan,kln,nand1266,Nandi,0.25,35,Nilotic,Eastern Sudanic,Africa,KE,1 Low,2 Simple tone system,4 Equal prefixing and suffixing,,,2 Plural suffix,,,3 Case tone,"6 First, two-th, three-th",2 Possessive suffixes,,,3 VSO,2 Final
nap,trg,lish1246,Neo-Aramaic (Persian Azerbaijan),38,47,Semitic,Afro-Asiatic,Eurasia,IR IL,4 Moderately high,1 No tones,,,,,,,,,,,,,
nar,nrb,nara1262,Nara (in Ethiopia),15.08333333,37.58333333,Nara,Eastern Sudanic,Africa,ER,3 Average,2 Simple tone system,2 Strongly suffixing,,,2 Plural suffix,,,6 Postpositional clitics,,,,,1 SOV,
nas,nas,naas1242,Nasioi,-6.333333333,155.5833333,East Bougainville,East Bougainville,Papunesia,PG,1 Low,,2 Strongly suffixing,,,,,,1 Case suffixes,,1 Possessive prefixes,,,1 SOV,3 Second position
nat,ncz,natc1249,Natchez,31.75,-91.33333333,Natchez,Natchez,North America,US,,,,,,,,,6 Postpositional clitics,,,,,1 SOV,
nau,nau,naur1243,Nauruan,-0.5,166.9166667,Oceanic,Austronesian,Papunesia,NR,,,,,,,,,,,,,,7 No dominant order,
nav,nav,nava1243,Navajo,36.16666667,-108,Athapaskan,Na-Dene,North America,US,5 High,2 Simple tone system,6 Strong prefixing,,,2 Plural suffix,,1 No morphological case-marking,9 No case affixes or adpositional clitics,"5 First/one-th, two-th, three-th",1 Possessive prefixes,,,1 SOV,5 In either of two positions
nax,nbf,naxi1245,Naxi,27.5,100,Naxi,Sino-Tibetan,Eurasia,CN,3 Average,3 Complex tone system,,,,,,,,,,,,,
nbb,nmb,bign1238,Nambas (Big),-16.08333333,167.2,Oceanic,Austronesian,Papunesia,VU,,,,,,,,,,,,,,,
nbd,kzh,kenu1236,Nubian (Dongolese),18.25,30.75,Nubian,Eastern Sudanic,Africa,SD,,,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,6 6-7 cases,6 Postpositional clitics,,1 Possessive prefixes,,,1 SOV,6 No question particle
nbe,ngc,ngom1268,Ngombe,3,23,Bantoid,Niger-Congo,Africa,CD,,,,,,,,,,,,,,2 SVO,
nbh,ghl,ghul1238,Ghulfan,12,31,Nubian,Eastern Sudanic,Africa,SD,,,,,,,,,,,,,,,
nbk,stc,natu1249,Natügu,-10.78333333,165.8666667,Oceanic,Austronesian,Papunesia,SB,3 Average,,,,,,,,,,,,,,
nbm,nbm,ngba1284,Ngbaka (Ma'bo),3.56,18.36,Ubangi,Niger-Congo,Africa,CD,,,,,,,,,,,,,,2 SVO,2 Final
nbo,now,nyam1277,Nyambo,-1,31.33333333,Bantoid,Niger-Congo,Africa,TZ,,,,,,,,,,,,,,,
nbr,gym,ngab1239,Ngäbere,8.666666667,-82,Guaymiic,Chibchan,North America,PA,,,,,,2 Plural suffix,,,1 Case suffixes,,,2 No inflectional future,3 Other perfect,1 SOV,
nca,caq,carn1240,Nicobarese (Car),9,93,Nicobarese,Austro-Asiatic,Eurasia,IN,,,2 Strongly suffixing,3 Three,3 Non-sex-based,9 No plural,,,9 No case affixes or adpositional clitics,,4 No possessive affixes,2 No inflectional future,4 No perfect,4 VOS,
ncm,bud,ntch1242,Ncàm,9.333333333,0.6666666667,Gur,Niger-Congo,Africa,GH TG,,,,,,6 Mixed morphological plural,,,,,1 Possessive prefixes,,,2 SVO,2 Final
ndb,nbl,sout2808,Ndebele (in South Africa),-25.33333333,29,Bantoid,Niger-Congo,Africa,ZA,,,6 Strong prefixing,,,1 Plural prefix,,,2 Case prefixes,,4 No possessive affixes,,,2 SVO,2 Final
nde,nnb,nand1264,Nande,-0.08333333333,29.16666667,Bantoid,Niger-Congo,Africa,CD,,,,,,1 Plural prefix,,,,,,,,,
ndg,ndz,ndog1248,Ndogo,7.75,27,Ubangi,Niger-Congo,Africa,SD,,,,,,,,,,,,,,,
ndi,ngb,nort2774,Ngbandi,3.75,22,Ubangi,Niger-Congo,Africa,CD,,,,,,,,,,,,,,2 SVO,6 No question particle
ndj,djj,djee1236,Ndjébbana,-12.16666667,134.1166667,Ndjébbana,Mangrida,Australia,AU,,,4 Equal prefixing and suffixing,,,,,,1 Case suffixes,,3 Prefixes and suffixes,,,7 No dominant order,6 No question particle
ndo,ndo,ndon1254,Ndonga,-18,17,Bantoid,Niger-Congo,Africa,AO NA,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,2 Case prefixes,,2 Possessive suffixes,,,2 SVO,
ndr,fij,fiji1243,Nadroga,-18.08333333,177.4166667,Oceanic,Austronesian,Papunesia,FJ,,,,,,,,,,,,,,7 No dominant order,6 No question particle
ndt,ndv,ndut1239,Ndut,14.91666667,-16.91666667,Northern Atlantic,Niger-Congo,Africa,SN,3 Average,3 Complex tone system,2 Strongly suffixing,,,2 Plural suffix,,,,,4 No possessive affixes,,,2 SVO,
ndu,nmd,ndum1239,Ndumu,-1.666666667,13.58333333,Bantoid,Niger-Congo,Africa,GA,,,,,,1 Plural prefix,,,,,4 No possessive affixes,,,2 SVO,
ndy,djk,ndyu1242,Ndyuka,4.5,-54.5,Creoles and Pidgins,other,South America,GF SR,3 Average,2 Simple tone system,1 Little affixation,1 None,1 No gender,7 Plural word,,1 No morphological case-marking,9 No case affixes or adpositional clitics,"6 First, two-th, three-th",4 No possessive affixes,,,2 SVO,6 No question particle
ned,dse,dutc1253,Nederlandse Gebarentaal,52.25,5.5,Sign Languages,other,Eurasia,NL,,,,,,,,,,,,,,,
neg,neg,negi1245,Negidal,53,139,Tungusic,Altaic,Eurasia,RU,,,,,,,,,,,,,,,
neh,nsn,neha1247,Nehan,-4.5,154.2,Oceanic,Austronesian,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,2 SVO,
nel,nee,kuma1276,Nelemwa,-20.25,164.0833333,Oceanic,Austronesian,Papunesia,NC,,,,,,,,,,,,,,,
nen,yrk,nene1249,Nenets,69,72,Samoyedic,Uralic,Eurasia,RU,4 Moderately high,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,,6 6-7 cases,1 Case suffixes,"7 First, second, three-th",2 Possessive suffixes,1 Inflectional future exists,4 No perfect,1 SOV,
nep,nep,nepa1252,Nepali,28,85,Indic,Indo-European,Eurasia,NP,4 Moderately high,1 No tones,2 Strongly suffixing,,,2 Plural suffix,3 Multiple politeness distinctions,,1 Case suffixes,,,,,1 SOV,
nev,ood,toho1245,Nevome,31,-112.5,Tepiman,Uto-Aztecan,North America,MX,,,4 Equal prefixing and suffixing,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,1 Possessive prefixes,,,1 SOV,1 Initial
new,new,newa1246,Newari (Kathmandu),27.66666667,85.5,Mahakiranti,Sino-Tibetan,Eurasia,NP,4 Moderately high,1 No tones,2 Strongly suffixing,,,8 Plural clitic,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,2 Final
ney,ney,neyo1238,Neyo,5,-6,Kru,Niger-Congo,Africa,CI,,,,,,,,,,,,,,7 No dominant order,2 Final
nez,nez,nezp1238,Nez Perce,46,-116,Sahaptian,Penutian,North America,US,4 Moderately high,1 No tones,4 Equal prefixing and suffixing,1 None,1 No gender,,1 No politeness distinction,8 10 or more cases,1 Case suffixes,"6 First, two-th, three-th",1 Possessive prefixes,,,7 No dominant order,1 Initial
nga,nio,ngan1291,Nganasan,71,93,Samoyedic,Uralic,Eurasia,RU,2 Moderately low,1 No tones,2 Strongly suffixing,,,,,,1 Case suffixes,,2 Possessive suffixes,,,1 SOV,6 No question particle
ngb,nga,ngba1285,Ngbaka (Minagende),3.5,20,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,CD,,,,,,6 Mixed morphological plural,,,,,,,,2 SVO,2 Final
ngd,nxg,ngad1261,Ngad'a,-8.833333333,121,Central Malayo-Polynesian,Austronesian,Papunesia,ID,,,1 Little affixation,,,9 No plural,,,9 No case affixes or adpositional clitics,,,,,2 SVO,6 No question particle
nge,nge,ngem1255,Ngemba,6.2,10,Bantoid,Niger-Congo,Africa,CM,,,,,,,,,,,,,,,
ngg,nam,nang1259,Ngan'gityemerri,-14.25,130.4166667,Ngankikurungkurr,Southern Daly,Australia,AU,,,,5 Five or more,2 Sex-based,,,,6 Postpositional clitics,,,,,7 No dominant order,
ngi,wyb,wang1291,Ngiyambaa,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,4 Moderately high,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,5 5 cases,1 Case suffixes,1 None,4 No possessive affixes,1 Inflectional future exists,4 No perfect,,3 Second position
ngj,nju,ngad1258,Ngadjumaja,-32.33333333,123.8333333,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,,,,,
ngk,nam,nang1259,Ngankikurungkurr,-14,130.5,Ngankikurungkurr,Southern Daly,Australia,AU,,,,,,6 Mixed morphological plural,,,6 Postpositional clitics,,4 No possessive affixes,,,7 No dominant order,6 No question particle
ngl,nig,ngal1293,Ngalakan,-14.25,134,Ngalakan,Gunwinyguan,Australia,AU,,,3 Weakly suffixing,,,9 No plural,,,1 Case suffixes,,2 Possessive suffixes,,,7 No dominant order,
